target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blow, care,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,82.9148331250035,,,,,,,,,,,,,,82.902542541,82.9148331250035,84.90427566600556,84.90428350000002,85.17243437500292,85.2308360829993,85.33098837500438,85.38854025000182,85.53860366600566,85.53861166600109,85.5546538750059,85.5546538750059,85.5546538750059,85.5546538750059,87.71932679100428,0,0,,,1,[2.1790642920022947],[2.1790679589976207],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
None,None,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,87.73116462500184,,,,,,,,,,,,,,87.71976112500124,87.73116462500184,89.72207195800002,89.72208041600243,89.98892175000219,90.04891866600519,90.14873445800185,90.205892416001,90.35554579100426,90.35555704100261,90.37177679100569,90.37177679100569,90.37177679100569,90.37177679100569,97.91035987500072,0,0,blow,cart,1,[7.553169833998254],[7.553173416999925],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.91069754100317,97.91816291600117,100.32204241600266,space,2.3974672500044107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
chin, nail,50,,,,,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,110.34088695800165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,100.32206645800034,100.33998062500177,110.3223918750009,110.3336452500007,110.34088695800165,112.32272200000443,112.32273220800562,112.58991645800415,112.64823820799938,112.74820437500603,112.8060497080005,112.95613966599922,112.95615087500482,112.97440087500581,112.97440087500581,112.97440087500581,112.97440087500581,118.9044872500017,bird,chain,1,[5.9464989170010085],[5.946503250001115],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
cave, meal,50,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,118.91468037500454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,118.90510212500521,118.91468037500454,120.906508166001,120.90651929100568,121.17363966600533,121.23196675000509,121.3320310410054,121.3895562500038,121.53991433299961,121.53992712499894,121.55657695799891,121.55657695799891,121.55657695799891,121.55657695799891,127.32741083300061,cave,meal,1,[5.785864249999577],[5.785867874998075],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
coat, note,50,,,,,0,0,0,0,0,2,2,6,,,,,,,,,,,,,,,,,127.33504650000395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,127.32782254100312,127.33504650000395,129.33289133300423,129.33290233300067,129.59869783300383,129.65659054100252,129.75632700000278,129.8150397080026,129.96546737500466,129.96547691600426,129.98254350000207,129.98254350000207,129.98254350000207,129.98254350000207,138.5881522080017,cart,note,1,[8.62099945799855],[8.621003332998953],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
clay, name,50,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,138.5992157080036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,138.58856216600543,138.5992157080036,140.59008866600198,140.59009812500153,140.8566144580036,140.91575604100217,141.0159984999991,141.07356908300426,141.22361045800062,141.22362195800088,141.23973541600571,141.23973541600571,141.23973541600571,141.23973541600571,146.71693100000266,,clay,1,[5.491759416996501],[5.491763250000076],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
cast, lump,50,,,,,0,0,0,0,0,4,4,0,,,,,,,,,,,,,,,,,146.72441304100357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,146.717392999999,146.72441304100357,148.71623433300556,148.71624454099947,148.98261904100218,149.04032050000387,149.14109079100308,149.1992401660027,149.3571080000038,149.3571189580034,149.37343916600366,149.37343916600366,149.37343916600366,149.37343916600366,154.47122166600457,cast,lump,1,[5.112465208003414],[5.112469040999713],148.72842370800208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
code, plot,50,,,,,0,0,0,0,0,5,5,7,,,,,,,,,,,,,,,,,154.48287925000477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,154.47162629100058,154.48287925000477,156.4733841250054,156.47339333299897,156.74105950000376,156.79949108300207,156.89944504100276,156.95702008300577,157.10740425000404,157.10741491600493,157.123543624999,157.123543624999,157.123543624999,157.123543624999,162.57254566600022,code,plot,1,[5.4636019579993444],[5.463605707998795],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
cold, pond,50,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,162.58327741600078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,162.57301983300567,162.58327741600078,164.5741453330047,164.57415354100522,164.85027341599925,164.93363020800462,165.0090382910057,165.07611312500376,165.2172010830036,165.21721433300263,165.24019891599892,165.24019891599892,165.24019891599892,165.24019891599892,170.86247954099963,card,pond,1,[5.643062874994939],[5.643066374999762],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
club, news,50,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,170.86967887500214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,170.86289220800245,170.86967887500214,172.8667160410041,172.86672508300398,173.13328170800378,173.19040574999963,173.29188720800448,173.34988179100037,173.5000402500009,173.50005020800018,173.51755204100482,173.51755204100482,173.51755204100482,173.51755204100482,178.94683254100528,club,,1,[5.4450846670006285],[5.445088084001327],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
chef, moon,50,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,178.9544290000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,178.94725845799985,178.9544290000049,180.95017487500445,180.95018308300496,181.21680662500148,181.27444545800245,181.37514870800078,181.4335173330037,181.58352345800085,181.58353229099885,181.6000374580035,181.6000374580035,181.6000374580035,181.6000374580035,187.2723557499994,,chef,1,[5.687010749999899],[5.687014374998398],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
crow, ring,100,,,,,0,0,0,0,,,,,0,0,0,2,,,,,,,,,,,,,187.28735516600136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.2792871250058,187.28735516600136,188.27500433300156,188.27501433300495,188.5420719160029,188.60046608300036,188.70058879100543,188.7583586250039,188.90828812499967,188.90829987500183,188.9256641250031,188.9256641250031,188.9256641250031,188.9256641250031,193.26245137500518,crow,ring,1,[4.352303250001569],[4.352307417000702],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
dirt, snow,100,,,,,0,0,0,0,,,,,0,1,1,8,,,,,,,,,,,,,193.2701431250025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.26304383300157,193.2701431250025,194.2672781250003,194.26728962500056,194.5338324580007,194.59112933299912,194.69135116600228,194.75079525000183,194.90055900000152,194.9005693750005,194.9182755830043,194.9182755830043,194.9182755830043,194.9182755830043,200.9971295830037,dart,show,1,[6.094808041998476],[6.094811791997927],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
desk, side,100,,,,,0,0,0,0,,,,,0,2,2,7,,,,,,,,,,,,,201.00458858300408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.99756475000322,201.00458858300408,202.0007351660024,202.0007453750004,202.26697412499925,202.32525545800308,202.42585941600555,202.48423754100077,202.63413112499984,202.63414229100454,202.65250554100203,202.65250554100203,202.65250554100203,202.65250554100203,206.76393174999976,desk,show,1,[4.127857874998881],[4.1278616249983315],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
cost, pork,100,,,,,0,0,0,0,,,,,0,3,3,0,,,,,,,,,,,,,206.77107841600082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.7643669579993,206.77107841600082,207.76766858300107,207.76767837499938,208.03420991600433,208.09185200000502,208.19280208300188,208.25099845800287,208.4009050829991,208.40091579100408,208.41786783299904,208.41786783299904,208.41786783299904,208.41786783299904,214.43210016599915,,pork,1,[6.029420582999592],[6.029424291999021],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
debt, show,100,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,214.43953870800033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.43254695799988,214.43953870800033,215.43446220800251,215.43447258300148,215.7012392079996,215.75888416600355,215.85935812500247,215.91819891600608,216.06814841600135,216.06816183300543,216.08532366600411,216.08532366600411,216.08532366600411,216.08532366600411,220.56000604099972,,debt,1,[4.490021999998135],[4.490026082996337],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
doll, song,100,,,,,0,0,0,0,,,,,0,5,5,9,,,,,,,,,,,,,220.56821808300447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.56043579100515,220.56821808300447,221.56790862500202,221.5679186250054,221.82608391599933,221.88455104100285,221.9845142500053,222.04236895800568,222.1925626250013,222.19257437500346,222.20858937500452,222.20858937500452,222.20858937500452,222.20858937500452,228.34742333300528,bird,doll,1,[6.153216625003552],[6.153220208005223],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
crop, rail,100,,,,,0,0,0,0,,,,,0,6,6,1,,,,,,,,,,,,,228.35484595800517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3478332500017,228.35484595800517,229.35144166600367,229.35145183300483,229.6175994580044,229.6759386660051,229.77579633300047,229.8347729580055,229.98482058300579,229.9848310410016,230.00173758299934,230.00173758299934,230.00173758299934,230.00173758299934,243.60988804099907,crop,rain,1,[13.623252583995054],[13.623256416998629],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final_pushkar,001,2023-11-29_09h48.24.850,experiment,2023.2.2,120.1126666440764,2023-11-29 09h48.43.551818 +0530,
