target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,target_23.stopped,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
calm, heat,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,131.62952162500005,,,,,,,,,,,,,,131.62174283299828,131.62952162500005,133.62153633300477,133.62154787500185,133.88822875000187,133.94677349999984,134.04723637500138,134.10497858300369,134.25492833300086,134.2549422910015,134.27174008300062,134.27174008300062,134.27174008300062,134.27174008300062,138.77648379099992,1,0,calm,,1,[4.519814291001239],[4.519817915999738],133.6349567080033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
None,None,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,138.78367379100382,,,,,,,,,,,,,,138.77690191600414,138.78367379100382,140.78043704100128,140.780446165998,141.04700479099847,141.1049506249983,141.20557708300475,141.26444804100174,141.4133498750016,141.41335812499892,141.430826541,141.430826541,141.430826541,141.430826541,146.87707025000418,0,0,,calm,1,[5.461952792000375],[5.461956042003294],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.87738091600477,146.88450825000473,161.9656555410038,space,15.080238250004186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
club, news,50,,,,,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,171.99153800000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,161.9656827910003,161.98563224999816,171.97218345799774,171.98422566600493,171.99153800000204,173.97256262500014,173.97257304099912,174.2313296659995,174.28943470800004,174.38985787500133,174.44805345799978,174.60562633300287,174.6056363750031,174.62630112500483,174.62630112500483,174.62630112500483,174.62630112500483,178.1703977080033,club,,1,[3.5628175829988322],[3.5628213329982827],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
chin, nail,50,,,,,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,178.1817634580002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,178.1709772500035,178.1817634580002,180.1728425830006,180.17285345800337,180.4399935410038,180.49825508300273,180.5982635410037,180.6558542499988,180.80617750000238,180.80618875000073,180.82420908300264,180.82420908300264,180.82420908300264,180.82420908300264,186.8442758750025,chain,,1,[6.036424917001568],[6.0364284590032184],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
cast, lump,50,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,186.85189491599886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,186.84469833299954,186.85189491599886,188.84846829099843,188.8484779999999,189.11512216600386,189.17276804100402,189.27357204099826,189.33191579100094,189.48188554100489,189.48189641600038,189.50052366599994,189.50052366599994,189.50052366599994,189.50052366599994,194.02679479100334,cast,,1,[4.54319187499641],[4.543195999998716],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
coat, note,50,,,,,0,0,0,0,0,3,3,6,,,,,,,,,,,,,,,,,194.0342102909999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,194.02719758300373,194.0342102909999,196.03204916600225,196.03206050000153,196.29865854100353,196.35625883300236,196.45625454100082,196.5153538750019,196.6653978329996,196.6654081250017,196.68444983300287,196.68444983300287,196.68444983300287,196.68444983300287,201.58838620800088,,coat,1,[4.921325750001415],[4.921329374999914],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
cave, meal,50,,,,,0,0,0,0,0,4,4,1,,,,,,,,,,,,,,,,,201.59899737500382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,201.58882241600077,201.59899737500382,203.58997950000048,203.58998950000387,203.85736862500198,203.91560349999781,204.01558595800452,204.07317845799844,204.2235264580013,204.22353920800379,204.24180462500226,204.24180462500226,204.24180462500226,204.24180462500226,208.6045732499988,,cave,1,[4.379392708004161],[4.379396374999487],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
cold, pond,50,,,,,0,0,0,0,0,5,5,8,,,,,,,,,,,,,,,,,208.61587070800306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,208.60497987500275,208.61587070800306,210.60708400000294,210.6070938749981,210.87426391600457,210.93243662500026,211.03251879099844,211.09012212500238,211.24054700000124,211.24056020800344,211.2589204160031,211.2589204160031,211.2589204160031,211.2589204160031,215.9041511250034,,cold,1,[4.661935040996468],[4.66193850000127],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
clay, name,50,,,,,0,0,0,0,0,6,6,4,,,,,,,,,,,,,,,,,215.9163990829984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,215.90455937499792,215.9163990829984,217.90723962500488,217.90724924999813,218.1744941249999,218.23281629099802,218.3328298330016,218.39111362500262,218.54057224999997,218.54058516600344,218.5590822910017,218.5590822910017,218.5590822910017,218.5590822910017,223.94541245800065,clay,,1,[5.403024332998029],[5.403028416003508],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
code, plot,50,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,223.9526844159991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,223.94583970800159,223.9526844159991,225.9495749580019,225.94958466599928,226.21617262499785,226.27387495800212,226.3746909160036,226.4328817909991,226.58288979100325,226.58289958300156,226.60104887500347,226.60104887500347,226.60104887500347,226.60104887500347,236.9910582080047,,,1,[10.406385416004923],[10.406388666000566],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
chef, moon,50,,,,,0,0,0,0,0,8,8,2,,,,,,,,,,,,,,,,,236.99969883300218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,236.99145637499896,236.99969883300218,238.99103354100225,238.9910461660038,239.25800966600218,239.31658245799917,239.41665904100228,239.47426141599863,239.6245471250004,239.6245619580004,239.64312449999852,239.64312449999852,239.64312449999852,239.64312449999852,246.04003050000028,chef,,1,[6.413807124998129],[6.413810958001704],239.00445879100153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
dirt, snow,100,,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,246.05475716599904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.0478225830011,246.05475716599904,247.04119608300243,247.04120570800296,247.3086408329982,247.36721733299782,247.46694583300268,247.52508258300077,247.67494616600015,247.6749608750033,247.69676900000195,247.69676900000195,247.69676900000195,247.69676900000195,250.78832712500298,dirt,,1,[3.111185125002521],[3.11118875000102],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
cry, riot,100,,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,250.80069354100124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.7888916660013,250.80069354100124,251.791269207999,251.79128000000492,252.05907079100143,252.1172375410024,252.21696162500302,252.27521212500142,252.42465208299836,252.42466645799868,252.44293708300393,252.44293708300393,252.44293708300393,252.44293708300393,255.88950175000355,cry,,1,[3.4631667909998214],[3.4631703329941956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
date, rose,100,,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,255.89998366600048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.88990066599945,255.89998366600048,256.8911182080046,256.8911292499979,257.15914608300227,257.2177122080029,257.317067750002,257.37537020799937,257.52527154100244,257.52528541599895,257.54461425000045,257.54461425000045,257.54461425000045,257.54461425000045,263.59613654100394,,date,1,[6.0688920419997885],[6.068895374999556],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
desk, side,100,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,,,,,,,,263.6033898750029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.59654045799834,263.6033898750029,264.6007210000025,264.60073329100123,264.86729795800056,264.9249740410014,265.025757125004,265.0839835000006,265.2341122500002,265.23413304099813,265.25295741599984,265.25295741599984,265.25295741599984,265.25295741599984,270.24111316600465,,desk,1,[5.005246500004432],[5.0052499170051306],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
deal, sand,100,,,,,0,0,0,0,,,,,0,4,4,5,,,,,,,,,,,,,270.2508688750022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270.2415133750037,270.2508688750022,271.2416921250042,271.2417032500016,271.5092645830009,271.56767733299785,271.6675256250019,271.7251172500037,271.87553687499894,271.8755497910024,271.89325337500486,271.89325337500486,271.89325337500486,271.89325337500486,277.72396945799846,,deal,1,[5.846665041004599],[5.846668666003097],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
crow, ring,100,,,,,0,0,0,0,,,,,0,5,5,2,,,,,,,,,,,,,277.7345601249981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.7243655830025,277.7345601249981,278.72535187500034,278.7253618750037,278.99278150000464,279.05118529099855,279.1511480830013,279.2086932500024,279.3587252080033,279.3587392500049,279.3762318750014,279.3762318750014,279.3762318750014,279.3762318750014,285.5418249159993,,crow,1,[6.181287625004188],[6.181291583998245],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
crop, rail,100,,,,,0,0,0,0,,,,,0,6,6,1,,,,,,,,,,,,,285.55105475000164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.54222416599805,285.55105475000164,286.54229791599937,286.54230862500117,286.8089005410002,286.86792050000076,286.96789495800476,287.0254892910016,287.1758030409983,287.1758153330011,287.1927912079991,287.1927912079991,287.1927912079991,287.1927912079991,290.96973320800316,,crop,1,[3.7921258749993285],[3.7921301250025863],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinmayeee,001,2023-11-28_18h33.50.306,experiment,2023.2.2,120.01068046606268,2023-11-28 18h33.59.756247 +0530,
