target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
blow, care,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,101.20580304099713,,,,,,,,,,,,,,101.18361741599801,101.20580304099713,103.19011850000243,103.19013400000404,103.44003445799171,103.48934045799251,103.6059919160034,103.65589574999467,103.80666000000201,103.80667412499315,103.82207733299583,103.82207733299583,103.82207733299583,103.82207733299583,113.75075829100388,1,0,blow,scare,1,[9.94244204100687],[9.942446415996528],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
None,None,,0,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,113.76490741599991,,,,,,,,,,,,,,113.75121354099247,113.76490741599991,115.75607008299266,115.75608008299605,116.0181098329922,116.06343324999034,116.17304929099919,116.22286737499235,116.37333491600293,116.37334974999249,116.38990408300015,116.38990408300015,116.38990408300015,116.38990408300015,124.72822141599318,0,0,,care,1,[8.353214207993005],[8.353218082993408],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.72854045800341,124.73936074999801,130.74639470799593,space,6.001823583996156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
code, plot,50,,,,,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,140.77135224999802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,130.74642270799086,130.7696369579935,140.7469750829914,140.7642723750032,140.77135224999802,142.75717533299758,142.75718666600005,143.00708974999725,143.05720116599696,143.16272016600124,143.21381733300223,143.36359049999737,143.36360799999966,143.39130104100332,143.39130104100332,143.39130104100332,143.39130104100332,149.3615189580014,code,,1,[5.987254499996197],[5.9872584999975516],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
club, news,50,,,,,0,0,0,0,0,1,1,5,,,,,,,,,,,,,,,,,149.3742100410018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,149.36210858299455,149.3742100410018,151.37409633299103,151.3741081659973,151.62419454100018,151.67402999999467,151.79068429100153,151.8400704999949,151.98110124999948,151.98112208300154,151.99840799999947,151.99840799999947,151.99840799999947,151.99840799999947,161.95758679100254,club,,1,[9.97467704200244],[9.974680750005064],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
cave, meal,50,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,161.96416012500413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,161.95803116599564,161.96416012500413,163.9482936659915,163.94830808299594,164.21401183299895,164.26663133299735,164.38128054099798,164.43448454099416,164.5744106249913,164.57443062499806,164.60134345799452,164.60134345799452,164.60134345799452,164.60134345799452,173.1842566659907,cave,"meal
",1,[8.60208587499801],[8.602089916996192],163.95993854099652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
clay, name,50,,,,,0,0,0,0,0,3,3,4,,,,,,,,,,,,,,,,,173.19091612499324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,173.1846722499904,173.19091612499324,175.1749026250036,175.17491770799097,175.45788162499957,175.50732929099468,175.60215054100263,175.6480376660038,175.809125957996,175.8091452910012,175.82993816600356,175.82993816600356,175.82993816600356,175.82993816600356,187.2680905409943,care,need,1,[11.456824458990013],[11.456828499998664],175.1873542079993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
coat, note,50,,,,,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,187.27474037499633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,187.26851749999332,187.27474037499633,189.25838241599558,189.2583947499952,189.52416624999023,189.5747812079935,189.6905187079974,189.74125941599777,189.89193083299324,189.89194433299417,189.90835391599103,189.90835391599103,189.90835391599103,189.90835391599103,196.4708932079957,coat,,1,[6.577144625000074],[6.577149083997938],189.27013412499218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
chef, moon,50,,,,,0,0,0,0,0,5,5,2,,,,,,,,,,,,,,,,,196.47728999999526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,196.47134891599126,196.47728999999526,198.46543604099134,198.46545045799576,198.73220229099388,198.77434933299082,198.89237170800334,198.94184941599087,199.1029439999984,199.1029639999906,199.12109724999755,199.12109724999755,199.12109724999755,199.12109724999755,206.1588842499914,chef,moon,1,[7.054045833996497],[7.054049792001024],198.4779981659958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
chin, nail,50,,,,,0,0,0,0,0,6,6,3,,,,,,,,,,,,,,,,,206.16567345800286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,206.15933862500242,206.16567345800286,208.14965187499183,208.1496662080026,208.41398683299485,208.46442533300433,208.57492937499774,208.6260635409999,208.77005137500237,208.77006545799668,208.80837320799765,208.80837320799765,208.80837320799765,208.80837320799765,225.52099229099986,chin,nail,1,[16.728253332999884],[16.728257499999017],208.1626356249908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
cast, lump,50,,,,,0,0,0,0,0,7,7,0,,,,,,,,,,,,,,,,,225.52771070800372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,225.52142545799143,225.52771070800372,227.5194684159942,227.51948291600274,227.77556837500015,227.82594437499938,227.9443376249983,227.99229862500215,228.14353200000187,228.14354699999967,228.1609893749992,228.1609893749992,228.1609893749992,228.1609893749992,232.50456533300166,cast,,1,[4.359230541987927],[4.359234749994357],227.53059912499157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
cold, pond,50,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,232.51566570799332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,232.5049909579975,232.51566570799332,234.498503625,234.49851849999686,234.76979970799584,234.8161000830005,234.92617537500337,234.97645329099032,235.1264390830038,235.1264526659943,235.1456339580036,235.1456339580036,235.1456339580036,235.1456339580036,241.97172554099234,cold,,1,[6.843558458000189],[6.8435627080034465],234.50888916599797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
doll, song,100,,,,,0,0,0,0,,,,,0,0,0,9,,,,,,,,,,,,,241.98566904099425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.9796265000041,241.98566904099425,242.9765185409924,242.9765304159955,243.23305199999595,243.27567233299487,243.3934708750021,243.442931957994,243.59323341600248,243.59325062499556,243.61407516599866,243.61407516599866,243.61407516599866,243.61407516599866,274.6717739579908,,song,1,[31.076296291998005],[31.07630000000063],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
date, rose,100,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,274.68411908300186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.672434291002,274.68411908300186,275.6772000829951,275.6772131250036,275.9378490829986,275.98394383299456,276.0938771660003,276.14366195799084,276.2947163749923,276.2947306249989,276.31225554099365,276.31225554099365,276.31225554099365,276.31225554099365,281.6055816250009,date,rose,1,[5.309175500005949],[5.309179666001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
cry, riot,100,,,,,0,0,0,0,,,,,0,2,2,3,,,,,,,,,,,,,281.6121134999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.6060317079973,281.6121134999994,282.604034916003,282.60404820799886,282.8610549580044,282.91065995799727,283.02726583299227,283.0771427080035,283.22828758299875,283.2283060829941,283.2469553330011,283.2469553330011,283.2469553330011,283.2469553330011,286.36479845800204,cry,,1,[3.134558834004565],[3.1345627500122646],282.6134570409922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
crop, rail,100,,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,286.37692337499175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.3652130410046,286.37692337499175,287.36159566599235,287.36161249999714,287.62778770799923,287.6774397909903,287.7783189579932,287.82732766600384,288.00110662500083,288.0011269579991,288.0237707079941,288.0237707079941,288.0237707079941,288.0237707079941,293.4150689579983,crop,"nail
",1,[5.4117822910047835],[5.411786291006138],287.37313562499185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
debt, show,100,,,,,0,0,0,0,,,,,0,4,4,6,,,,,,,,,,,,,293.4271888749936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.41548049999983,293.4271888749936,294.4106973750022,294.4107120830013,294.67763554099656,294.7274382500036,294.83465204099775,294.88500570799806,295.03445691599336,295.034478415997,295.051261332992,295.051261332992,295.051261332992,295.051261332992,304.12918379099574,debt,show,1,[9.092943916999502],[9.092948499994236],294.4220503749966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
cost, pork,100,,,,,0,0,0,0,,,,,0,5,5,0,,,,,,,,,,,,,304.14464274999045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.12966583299567,304.14464274999045,305.12873437500093,305.12874812500377,305.3847196659917,305.4388767909986,305.55131612499827,305.6049443749944,305.750987833002,305.7510104160028,305.7726993749966,305.7726993749966,305.7726993749966,305.7726993749966,312.08886554099445,cost,park,1,[6.335852333999355],[6.33585708400642],305.1391742909909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
deal, sand,100,,,,,0,0,0,0,,,,,0,6,6,5,,,,,,,,,,,,,312.1114085409936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0892992500012,312.1114085409936,313.09466745800455,313.09468087500136,313.3550853749912,313.40129875000275,313.5113282079983,313.56887712499883,313.71195612500014,313.7119723329961,313.7310050829983,313.7310050829983,313.7310050829983,313.7310050829983,327.2733799999987,deal,sand,1,[13.559453415989992],[13.559457707990077],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44444,001,2023-11-29_15h01.27.696,experiment,2023.2.2,None,2023-11-29 15h01.43.712652 +0530,
