target1,target2,SOA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,counter_balance.thisRepN,counter_balance.thisTrialN,counter_balance.thisN,counter_balance.thisIndex,trials_50ms.thisRepN,trials_50ms.thisTrialN,trials_50ms.thisN,trials_50ms.thisIndex,trials_100ms.thisRepN,trials_100ms.thisTrialN,trials_100ms.thisN,trials_100ms.thisIndex,trials_200ms.thisRepN,trials_200ms.thisTrialN,trials_200ms.thisN,trials_200ms.thisIndex,trials_400ms.thisRepN,trials_400ms.thisTrialN,trials_400ms.thisN,trials_400ms.thisIndex,trials_600ms.thisRepN,trials_600ms.thisTrialN,trials_600ms.thisN,trials_600ms.thisIndex,thisRow.t,notes,Instructions.started,key_instruct.started,Instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,practice_instructions.started,key_instruct_2.started,practice_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,fixation.started,cross.started,fixation.stopped,practice.started,target_1.started,target_1.stopped,target_2.started,target_2.stopped,practice.stopped,practice_response.started,textbox.started,practice_response_instructions.started,textbox_2.started,button.started,practice_response.stopped,f1_accuracy,f2_accuracy,textbox.text,textbox_2.text,button.numClicks,button.timesOn,button.timesOff,cross.stopped,instructions_testphase.started,key_instruct_3.started,instructions_testphase.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,countdown.started,text_countdown.started,countdown.stopped,fixation_2.started,cross_2.started,fixation_2.stopped,routine_1.started,target_14.started,target_14.stopped,target_15.started,target_15.stopped,routine_1.stopped,response.started,textbox_3.started,practice_response_instructions_2.started,textbox_4.started,button_2.started,response.stopped,textbox_3.text,textbox_4.text,button_2.numClicks,button_2.timesOn,button_2.timesOff,cross_2.stopped,fixation_100ms.started,cross_3.started,fixation_100ms.stopped,routine_2.started,target_16.started,target_16.stopped,target_17.started,target_17.stopped,routine_2.stopped,response_100ms.started,textbox_5.started,practice_response_instructions_3.started,textbox_6.started,button_3.started,response_100ms.stopped,textbox_5.text,textbox_6.text,button_3.numClicks,button_3.timesOn,button_3.timesOff,cross_3.stopped,routine_34.started,target_18.started,target_18.stopped,target_19.started,target_19.stopped,routine_34.stopped,response_200ms.started,textbox_7.started,practice_response_instructions_4.started,textbox_8.started,button_4.started,response_200ms.stopped,textbox_7.text,textbox_8.text,button_4.numClicks,button_4.timesOn,button_4.timesOff,routine_4.started,target_20.started,target_20.stopped,target_21.started,target_21.stopped,routine_4.stopped,response_400ms.started,textbox_9.started,practice_response_instructions_5.started,textbox_10.started,button_5.started,response_400ms.stopped,textbox_9.text,textbox_10.text,button_5.numClicks,button_5.timesOn,button_5.timesOff,routine_5.started,target_22.started,target_22.stopped,target_23.started,target_23.stopped,routine_5.stopped,response_600ms.started,textbox_11.started,practice_response_instructions_6.started,textbox_12.started,button_6.started,response_600ms.stopped,textbox_11.text,textbox_12.text,button_6.numClicks,button_6.timesOn,button_6.timesOff,thank_you.started,key_instruct_4.started,thank_you.stopped,key_instruct_4.keys,key_instruct_4.rt,key_instruct_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
calm, heat,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,121.35918970800412,,,,,,,,,,,,,,121.35237129199959,121.35918970800412,123.34807029200601,123.34808266699838,123.61453637499653,123.66461162500491,123.77417833299842,123.82351887499681,123.97342454199679,123.97343637500308,123.98949400000856,123.98949400000856,123.98949400000856,123.98949400000856,136.16156058300112,0,0,heat,calm,1,[12.186545999997179],[12.186549999998533],123.36068812500162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
boat, cold,,0,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,136.17406625000876,,,,,,,,,,,,,,136.16195537500607,136.17406625000876,138.15763033300755,138.15764045799733,138.4243895420077,138.47395149999647,138.58098170800076,138.63150208300794,138.78078341700893,138.78079862499726,138.79663179200725,138.79663179200725,138.79663179200725,138.79663179200725,155.12887333300023,1,0,boat,cold,1,[16.34648408299836],[16.34648812499654],138.16849554200599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.12927329199738,155.14114308300486,160.0751938750036,space,4.92546745899017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
cave, meal,50,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,170.10364633300924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,160.07522308299667,160.09487366699614,170.08205420800368,170.0968992499984,170.10364633300924,172.0821825000021,172.08219854200433,172.3311823749973,172.38132783300534,172.49174733299878,172.54207654199854,172.69209520799632,172.692107750001,172.71896541700698,172.71896541700698,172.71896541700698,172.71896541700698,180.6963745420071,meal,,1,[7.995683999994071],[7.995687999995425],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
coat, note,50,,,,,0,0,0,0,0,1,1,6,,,,,,,,,,,,,,,,,180.7084960420034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,180.69694020799943,180.7084960420034,182.69220341699838,182.69221729200217,182.95869129200582,183.0084787500091,183.115314708004,183.16660337500798,183.31585841700144,183.31587237500935,183.33341691699752,183.33341691699752,183.33341691699752,183.33341691699752,193.7211935420055,coat,,1,[10.403579749996425],[10.403583915991476],182.70373579200532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
clay, name,50,,,,,0,0,0,0,0,2,2,4,,,,,,,,,,,,,,,,,193.72759208299976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,193.72159583300527,193.72759208299976,195.71595020800305,195.71596504200716,195.9821532920032,196.03328495800088,196.14269308300572,196.1920667920058,196.34249366700533,196.34250641700055,196.3596945419995,196.3596945419995,196.3596945419995,196.3596945419995,204.73038304199872,clay,,1,[8.386172625003383],[8.38617641699966],195.72840950000682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
chef, moon,50,,,,,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,204.7424459169997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,204.7307851670048,204.7424459169997,206.72628429200267,206.72629620799853,206.99278400000185,207.04259491700213,207.14872574999754,207.1995456250006,207.3501753330056,207.35019141700468,207.36633608299599,207.36633608299599,207.36633608299599,207.36633608299599,217.80426800000714,chef,,1,[10.452409958001226],[10.452413708000677],206.73800754200784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
code, plot,50,,,,,0,0,0,0,0,4,4,7,,,,,,,,,,,,,,,,,217.811133042007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,217.80470304199844,217.811133042007,219.79945274999773,219.79946604200813,220.06616004199896,220.11678937499528,220.226666750008,220.27562345800106,220.42672933300491,220.4267434170033,220.44302545800747,220.44302545800747,220.44302545800747,220.44302545800747,237.95492195800762,code,plot,1,[17.526370000006864],[17.526374624998425],219.81221329199616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
cast, lump,50,,,,,0,0,0,0,0,5,5,0,,,,,,,,,,,,,,,,,237.96186945799855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,237.9553547920077,237.96186945799855,239.94979025000066,239.9498019169987,240.21742062500562,240.2666396249988,240.3770022920071,240.42646537499968,240.57690608300618,240.57692020799732,240.59409087500535,240.59409087500535,240.59409087500535,240.59409087500535,254.2886126670055,cast,dump,1,[13.709925957999076],[13.709929582997574],239.96230762499908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
cold, pond,50,,,,,0,0,0,0,0,6,6,8,,,,,,,,,,,,,,,,,254.2956099169969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,254.2890405000071,254.2956099169969,256.2847747080086,256.28478787500353,256.55084116700164,256.60155849999865,256.7106818330067,256.76026712500607,256.91060604200175,256.9106200420065,256.9282129170024,256.9282129170024,256.9282129170024,256.9282129170024,263.36531637499866,,pond,1,[6.452985292009544],[6.452989291996346],256.2961845420068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
club, news,50,,,,,0,0,0,0,0,7,7,5,,,,,,,,,,,,,,,,,263.3773297919979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,263.3657202500035,263.3773297919979,265.36034858299536,265.3603594169981,265.6277612920094,265.67712833300175,265.78374758300197,265.83450591700966,265.98485274999985,265.98486900000717,266.00203383300686,266.00203383300686,266.00203383300686,266.00203383300686,270.4061349580006,,news,1,[4.419454375005444],[4.4194585000077495],265.3711231250054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
chin, nail,50,,,,,0,0,0,0,0,8,8,3,,,,,,,,,,,,,,,,,270.4131867499964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,270.40655779199733,270.4131867499964,272.4012724579952,272.4012871669984,272.6683426670061,272.71818725000776,272.82768304200727,272.8772638329974,273.02773879200686,273.0277527080034,273.0447379170073,273.0447379170073,273.0447379170073,273.0447379170073,287.3481658749952,"chin
",nail,1,[14.318707084006746],[14.318711042011273],272.4273230830004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
crop, rail,100,,,,,0,0,0,0,,,,,0,0,0,1,,,,,,,,,,,,,287.37724395800615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.35532475000946,287.37724395800615,288.3514162500069,288.35143258300377,288.61128024999925,288.66097374999663,288.7676884579996,288.8192105420021,288.96844404200965,288.96846379199997,288.98867604200495,288.98867604200495,288.98867604200495,288.98867604200495,292.2005977920053,crop,,1,[3.2299221669964027],[3.229925916995853],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
date, rose,100,,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,292.21125741700234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.2011721250019,292.21125741700234,293.1955430829985,293.19555758300703,293.46108325000387,293.5116276250046,293.6175130830088,293.6683391670085,293.81886475000647,293.8188809580024,293.84441929199966,293.84441929199966,293.84441929199966,293.84441929199966,310.43989775000955,date,rose,1,[16.612150957997073],[16.612154957998428],293.20672708300117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
dirt, snow,100,,,,,0,0,0,0,,,,,0,2,2,8,,,,,,,,,,,,,310.44651175000763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.44032375000825,310.44651175000763,311.43537300000025,311.4353872500069,311.7023095420009,311.7529018330097,311.86201312500634,311.91180991700094,312.0625025830086,312.06251766700007,312.08062141700066,312.08062141700066,312.08062141700066,312.08062141700066,317.2236042919976,,snow,1,[5.159312500007218],[5.159316000004765],311.4615985420096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
desk, side,100,,,,,0,0,0,0,,,,,0,3,3,7,,,,,,,,,,,,,317.2308247080073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.22400770800596,317.2308247080073,318.2186402500083,318.218655167002,318.485193792003,318.5363236670091,318.6456328330096,318.6950582499994,318.8458298330079,318.84584441699553,318.86414970799524,318.86414970799524,318.86414970799524,318.86414970799524,324.3902982080035,,desk,1,[5.542627208997146],[5.542631417003577],318.2451116669981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
crow, ring,100,,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,324.3969197499973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.390730375002,324.3969197499973,325.3860219580092,325.3860372920026,325.6527932080062,325.703284083007,325.8123517080094,325.86192783300066,326.0122907920013,326.01230545800354,326.0298507499974,326.0298507499974,326.0298507499974,326.0298507499974,333.6073149580043,crow,ring,1,[7.593159625001135],[7.593163749988889],325.3981891250005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
cry, riot,100,,,,,0,0,0,0,,,,,0,5,5,3,,,,,,,,,,,,,333.61431674999767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.6077504999994,333.61431674999767,334.60286975000054,334.60288279200904,334.8696627919999,334.9188937500003,335.0293514579971,335.07878366700606,335.22919425000146,335.229209541998,335.2468044170091,335.2468044170091,335.2468044170091,335.2468044170091,340.7237864580093,cry,,1,[5.492715749991476],[5.492719624991878],334.6142504580057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
deal, sand,100,,,,,0,0,0,0,,,,,0,6,6,5,,,,,,,,,,,,,340.7312809169962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.72419400000945,340.7312809169962,341.71932216700225,341.71933645800164,341.98636537500715,342.0360530830076,342.1458778750093,342.1955403750035,342.346084417004,342.3460992080072,342.36353066700394,342.36353066700394,342.36353066700394,342.36353066700394,355.7581440000067,deal,sand,1,[13.410141041997122],[13.4101451250026],341.74565920799796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vidhi,001,2023-11-29_14h29.14.921,experiment,2023.2.2,None,2023-11-29 14h29.25.496038 +0530,
